Apple|AAPL|143.72|1.72|-0.31|1.2|Technology
Boeing|BA|213.03|0.95|0.43|1.1|Industrials
Costco|COST|511.14|1.16|-0.13|1.3|ConsumerDefensive
Delta Airlines|DAL|38.97|1.17|0.04|1.4|Industrials
JP Morgan Chase|JPM|139.96|0.88|0.08|1.5|FinancialServices
Meta Platforms|META|148.97|-0.18|0.36|1.6|CommunicationServices
Nike|NKE|127.33|-0.32|0.63|1.7|ConsumerCyclical
Pfizer|PFE|44.16|1.72|0.6|-0.12|Healthcare
Tesla|TSLA|173.22|1.77|-0.56|1.9|ConsumerDiscretionary
United Health|UNH|499.19|0.43|-0.21|2.1|Healthcare
