Apple|AAPL|143.72|1.72|-0.0031|0.0|Technology
Boeing|BA|213.03|0.95|0.0043|0.0|Industrials
Costco|COST|511.14|1.16|-0.0013|0.0|ConsumerDefensive
Delta Airlines|DAL|38.97|1.17|0.004|0.0|Industrials
JP Morgan Chase|JPM|139.96|0.88|0.0008|0.0|FinancialServices
Meta Platforms|META|148.97|-0.18|0.0036|0.0|CommunicationServices
Nike|NKE|127.33|-0.32|0.0063|0.0|ConsumerCyclical
Pfizer|PFE|44.16|0.6|-0.0012|0.0|Healthcare
Tesla|TSLA|173.22|1.77|-0.0056|0.0|ConsumerDiscretionary
United Health|UNH|499.19|0.43|-0.0021|0.0|Healthcare
